HEXCODE,PARAMETER_ID,PARAMETER_ID,MIN_VALUE_NU,MAX_VALUE_NU,RGB_R_NU,RGB_G_NU,RGB_B_NU,SHORT_NAME_TX,DWH1_T_UNIT_REF.NAME_E_TX,SHORT_SIGN_TX,NAME_G_TX,NAME_F_TX,NAME_I_TX,DWH1_T_PARAM_GROUP_REF.NAME_E_TX,DESC_G_TX,DESC_F_TX,DESC_E_TX,DESC_I_TX,UUID_TX,TECHNICAL_NAME_TX,MHS_PRODUCT_NAME_TX,LABEL_G,LABEL_F,LABEL_I,LABEL_E,LABEL_DEF_G,LABEL_DEF_F,LABEL_DEF_I,LABEL_DEF_E
#08529C,91,91,-30,-25,8,82,156,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-30 bis -25 °C,de -30 à -25 °C,da -30 a -25 °C,-30 to -25 °C,-30 bis -25 °C,de -30 à -25 °C,da -30 a -25 °C,-30 to -25 °C
#2171B5,91,91,-25,-20,33,113,181,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-25 bis -20 °C,de -25 à -20 °C,da -25 a -20 °C,-25 to -20 °C,-25 bis -20 °C,de -25 à -20 °C,da -25 a -20 °C,-25 to -20 °C
#4292C7,91,91,-20,-15,66,146,199,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-20 bis -15 °C,de -20 à -15 °C,da -20 a -15 °C,-20 to -15 °C,-20 bis -15 °C,de -20 à -15 °C,da -20 a -15 °C,-20 to -15 °C
#5AA0CD,91,91,-15,-12,90,160,205,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-15 bis -12 °C,de -15 à -12 °C,da -15 a -12 °C,-15 to -12 °C,-15 bis -12 °C,de -15 à -12 °C,da -15 a -12 °C,-15 to -12 °C
#78BFD6,91,91,-12,-9,120,191,214,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-12 bis -9 °C,de -12 à -9 °C,da -12 a -9 °C,-12 to -9 °C,-12 bis -9 °C,de -12 à -9 °C,da -12 a -9 °C,-12 to -9 °C
#AADCE6,91,91,-9,-6,170,220,230,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-9 bis -6 °C,de -9 à -6 °C,da -9 a -6 °C,-9 to -6 °C,-9 bis -6 °C,de -9 à -6 °C,da -9 a -6 °C,-9 to -6 °C
#DBF5FF,91,91,-6,-3,219,245,255,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-6 bis -3 °C,de -6 à -3 °C,da -6 a -3 °C,-6 to -3 °C,-6 bis -3 °C,de -6 à -3 °C,da -6 a -3 °C,-6 to -3 °C
#F0FCFF,91,91,-3,0,240,252,255,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,-3 bis 0 °C,de -3 à 0 °C,da -3 a 0 °C,-3 to 0 °C,-3 bis 0 °C,de -3 à 0 °C,da -3 a 0 °C,-3 to 0 °C
#FFF0F5,91,91,0,3,255,240,245,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,0 bis 3 °C,de 0 à 3 °C,da 0 a 3 °C,0 to 3 °C,0 bis 3 °C,de 0 à 3 °C,da 0 a 3 °C,0 to 3 °C
#FFE0E0,91,91,3,6,255,224,224,tre200s0,degree Celsius,°C,Temperatur,température,temperatura,temperature,Lufttemperatur 2 m über Boden; Momentanwert,température de l'air à 2 m du sol; valeur instantanée,Air temperature 2 m above ground; current value,Temperatura dell'aria a 2 m; valore momentaneo,3df8ca1c-70ec-4b7c-89b1-413e89dbb15b,messwerte-lufttemperatur-10min,i2001t,3 bis 6 °C,de 3 à 6 °C,da 3 a 6 °C,3 to 6 °C,3 bis 6 °C,de 3 à 6 °C,da 3 a 6 °C,3 to 6 °C
