HEXCODE,PARAMETER_ID,PARAMETER_ID,MIN_VALUE_NU,MAX_VALUE_NU,RGB_R_NU,RGB_G_NU,RGB_B_NU,SHORT_NAME_TX,DWH1_T_UNIT_REF.NAME_E_TX,SHORT_SIGN_TX,NAME_G_TX,NAME_F_TX,NAME_I_TX,DWH1_T_PARAM_GROUP_REF.NAME_E_TX,DESC_G_TX,DESC_F_TX,DESC_E_TX,DESC_I_TX,UUID_TX,TECHNICAL_NAME_TX,MHS_PRODUCT_NAME_TX,LABEL_G,LABEL_F,LABEL_I,LABEL_E,LABEL_DEF_G,LABEL_DEF_F,LABEL_DEF_I,LABEL_DEF_E
#FFFFFF,94,94,0,1,255,255,255,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,kein Sonnenschein,pas d'ensoleillement,senza sole,no sunshine,0 bis 1 min,de 0 à 1 min,da 0 a 1 min,0 to 1 min
#FFF5CC,94,94,1,2,255,245,204,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,1 bis 2 min,de 1 à 2 min,da 1 a 2 min,1 to 2 min,1 bis 2 min,de 1 à 2 min,da 1 a 2 min,1 to 2 min
#FFE670,94,94,2,3,255,230,112,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,2 bis 3 min,de 2 à 3 min,da 2 a 3 min,2 to 3 min,2 bis 3 min,de 2 à 3 min,da 2 a 3 min,2 to 3 min
#FFCC33,94,94,3,4,255,204,51,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,3 bis 4 min,de 3 à 4 min,da 3 a 4 min,3 to 4 min,3 bis 4 min,de 3 à 4 min,da 3 a 4 min,3 to 4 min
#FFAF33,94,94,4,5,255,175,51,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,4 bis 5 min,de 4 à 5 min,da 4 a 5 min,4 to 5 min,4 bis 5 min,de 4 à 5 min,da 4 a 5 min,4 to 5 min
#FF9933,94,94,5,6,255,153,51,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,5 bis 6 min,de 5 à 6 min,da 5 a 6 min,5 to 6 min,5 bis 6 min,de 5 à 6 min,da 5 a 6 min,5 to 6 min
#FF6F00,94,94,6,7,255,111,0,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,6 bis 7 min,de 6 à 7 min,da 6 a 7 min,6 to 7 min,6 bis 7 min,de 6 à 7 min,da 6 a 7 min,6 to 7 min
#FF5500,94,94,7,8,255,85,0,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,7 bis 8 min,de 7 à 8 min,da 7 a 8 min,7 to 8 min,7 bis 8 min,de 7 à 8 min,da 7 a 8 min,7 to 8 min
#E6281E,94,94,8,9,230,40,30,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,8 bis 9 min,de 8 à 9 min,da 8 a 9 min,8 to 9 min,8 bis 9 min,de 8 à 9 min,da 8 a 9 min,8 to 9 min
#C81E14,94,94,9,10.01,200,30,20,sre000z0,minute,min,Sonne,ensoleillement,soleggiamento,sunshine,Sonnenscheindauer; Zehnminutensumme,durée d'ensoleillement; sommation sur 10 minutes,Sunshine duration; ten minutes total,Soleggiamento; somma su 10',04611009-c323-4ece-a9fc-f6ce8fc62c60,messwerte-sonnenscheindauer-10min,i2018t,9 bis 10 min,de 9 à 10 min,da 9 a 10 min,9 to 10 min,9 bis 10.01 min,de 9 à 10.01 min,da 9 a 10.01 min,9 to 10.01 min
#FFFFCC,96,96,-50,1,255,255,204,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,keine Strahlung,pas de rayonnement,senza radiazione,no radiation,-50 bis 1 W/m²,de -50 à 1 W/m²,da -50 a 1 W/m²,-50 to 1 W/m²
#FFF5B4,96,96,1,100,255,245,180,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,1 bis 100 W/m²,de 1 à 100 W/m²,da 1 a 100 W/m²,1 to 100 W/m²,1 bis 100 W/m²,de 1 à 100 W/m²,da 1 a 100 W/m²,1 to 100 W/m²
#FEEB9C,96,96,100,200,254,235,156,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,100 bis 200 W/m²,de 100 à 200 W/m²,da 100 a 200 W/m²,100 to 200 W/m²,100 bis 200 W/m²,de 100 à 200 W/m²,da 100 a 200 W/m²,100 to 200 W/m²
#FEE086,96,96,200,300,254,224,134,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,200 bis 300 W/m²,de 200 à 300 W/m²,da 200 a 300 W/m²,200 to 300 W/m²,200 bis 300 W/m²,de 200 à 300 W/m²,da 200 a 300 W/m²,200 to 300 W/m²
#FED36F,96,96,300,400,254,211,111,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,300 bis 400 W/m²,de 300 à 400 W/m²,da 300 a 400 W/m²,300 to 400 W/m²,300 bis 400 W/m²,de 300 à 400 W/m²,da 300 a 400 W/m²,300 to 400 W/m²
#FEBD58,96,96,400,500,254,189,88,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,400 bis 500 W/m²,de 400 à 500 W/m²,da 400 a 500 W/m²,400 to 500 W/m²,400 bis 500 W/m²,de 400 à 500 W/m²,da 400 a 500 W/m²,400 to 500 W/m²
#FDA948,96,96,500,600,253,169,72,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,500 bis 600 W/m²,de 500 à 600 W/m²,da 500 a 600 W/m²,500 to 600 W/m²,500 bis 600 W/m²,de 500 à 600 W/m²,da 500 a 600 W/m²,500 to 600 W/m²
#FD953F,96,96,600,700,253,149,63,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,600 bis 700 W/m²,de 600 à 700 W/m²,da 600 a 700 W/m²,600 to 700 W/m²,600 bis 700 W/m²,de 600 à 700 W/m²,da 600 a 700 W/m²,600 to 700 W/m²
#FC7936,96,96,700,800,252,121,54,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,700 bis 800 W/m²,de 700 à 800 W/m²,da 700 a 800 W/m²,700 to 800 W/m²,700 bis 800 W/m²,de 700 à 800 W/m²,da 700 a 800 W/m²,700 to 800 W/m²
#FC572C,96,96,800,900,252,87,44,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,800 bis 900 W/m²,de 800 à 900 W/m²,da 800 a 900 W/m²,800 to 900 W/m²,800 bis 900 W/m²,de 800 à 900 W/m²,da 800 a 900 W/m²,800 to 900 W/m²
#F23924,96,96,900,1000,242,57,36,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,900 bis 1000 W/m²,de 900 à 1000 W/m²,da 900 a 1000 W/m²,900 to 1000 W/m²,900 bis 1000 W/m²,de 900 à 1000 W/m²,da 900 a 1000 W/m²,900 to 1000 W/m²
#E41D1D,96,96,1000,1100,228,29,29,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,1000 bis 1100 W/m²,de 1000 à 1100 W/m²,da 1000 a 1100 W/m²,1000 to 1100 W/m²,1000 bis 1100 W/m²,de 1000 à 1100 W/m²,da 1000 a 1100 W/m²,1000 to 1100 W/m²
#CB0D20,96,96,1100,1200,203,13,32,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,1100 bis 1200 W/m²,de 1100 à 1200 W/m²,da 1100 a 1200 W/m²,1100 to 1200 W/m²,1100 bis 1200 W/m²,de 1100 à 1200 W/m²,da 1100 a 1200 W/m²,1100 to 1200 W/m²
#B10026,96,96,1200,1500,177,0,38,gre000z0,watt/square meter,W/m²,Strahlung,rayonnement,radiazione,radiation,Globalstrahlung; Zehnminutenmittel,rayonnement global; moyenne sur 10 minutes,Global radiation; ten minutes mean,Radiazione globale; media su dieci minuti,4865107d-fc3a-4ee7-9532-78e54b3404e8,messwerte-globalstrahlung-10min,i2010t,> 1200 W/m²,> 1200 W/m²,> 1200 W/m²,> 1200 W/m²,1200 bis 1500 W/m²,de 1200 à 1500 W/m²,da 1200 a 1500 W/m²,1200 to 1500 W/m²
#993404,98,98,1,5,153,52,4,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,1 bis 5 %,de 1 à 5 %,da 1 a 5 %,1 to 5 %,1 bis 5 %,de 1 à 5 %,da 1 a 5 %,1 to 5 %
#CC4C02,98,98,5,10,204,76,2,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,5 bis 10 %,de 5 à 10 %,da 5 a 10 %,5 to 10 %,5 bis 10 %,de 5 à 10 %,da 5 a 10 %,5 to 10 %
#EC7014,98,98,10,20,236,112,20,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,10 bis 20 %,de 10 à 20 %,da 10 a 20 %,10 to 20 %,10 bis 20 %,de 10 à 20 %,da 10 a 20 %,10 to 20 %
#FE9929,98,98,20,30,254,153,41,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,20 bis 30 %,de 20 à 30 %,da 20 a 30 %,20 to 30 %,20 bis 30 %,de 20 à 30 %,da 20 a 30 %,20 to 30 %
#FEC44F,98,98,30,40,254,196,79,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,30 bis 40 %,de 30 à 40 %,da 30 a 40 %,30 to 40 %,30 bis 40 %,de 30 à 40 %,da 30 a 40 %,30 to 40 %
#FEE391,98,98,40,50,254,227,145,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,40 bis 50 %,de 40 à 50 %,da 40 a 50 %,40 to 50 %,40 bis 50 %,de 40 à 50 %,da 40 a 50 %,40 to 50 %
#D9F0A3,98,98,50,60,217,240,163,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,50 bis 60 %,de 50 à 60 %,da 50 a 60 %,50 to 60 %,50 bis 60 %,de 50 à 60 %,da 50 a 60 %,50 to 60 %
#ADDD8E,98,98,60,70,173,221,142,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,60 bis 70 %,de 60 à 70 %,da 60 a 70 %,60 to 70 %,60 bis 70 %,de 60 à 70 %,da 60 a 70 %,60 to 70 %
#78C679,98,98,70,80,120,198,121,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,70 bis 80 %,de 70 à 80 %,da 70 a 80 %,70 to 80 %,70 bis 80 %,de 70 à 80 %,da 70 a 80 %,70 to 80 %
#41AB5D,98,98,80,90,65,171,93,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,80 bis 90 %,de 80 à 90 %,da 80 a 90 %,80 to 90 %,80 bis 90 %,de 80 à 90 %,da 80 a 90 %,80 to 90 %
#238443,98,98,90,95,35,132,67,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,90 bis 95 %,de 90 à 95 %,da 90 a 95 %,90 to 95 %,90 bis 95 %,de 90 à 95 %,da 90 a 95 %,90 to 95 %
#006837,98,98,95,101,0,104,55,ure200s0,per cent,%,Feuchte,humidité,umidità,humidity,Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert,humidité de l'air relative à 2 m su sol; valeur instantanée,Relative air humidity 2 m above ground; current value,Umidità relativa dell'aria a 2 m; valore momentaneo,27555e51-199b-431c-bffe-8e7b58faff4f,messwerte-luftfeuchtigkeit-10min,i2014t,95 bis 100 %,de 95 à 100 %,da 95 a 100 %,95 to 100 %,95 bis 101 %,de 95 à 101 %,da 95 a 101 %,95 to 101 %
#4292C7,194,194,-50,-30,66,146,199,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,< -30 °C,< -30 °C,< -30 °C,< -30 °C,-50 bis -30 °C,de -50 à -30 °C,da -50 a -30 °C,-50 to -30 °C
#5AA0CD,194,194,-30,-25,90,160,205,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,-30 bis -25 °C,de -30 à -25 °C,da -30 a -25 °C,-30 to -25 °C,-30 bis -25 °C,de -30 à -25 °C,da -30 a -25 °C,-30 to -25 °C
#78BFD6,194,194,-25,-20,120,191,214,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,-25 bis -20 °C,de -25 à -20 °C,da -25 a -20 °C,-25 to -20 °C,-25 bis -20 °C,de -25 à -20 °C,da -25 a -20 °C,-25 to -20 °C
#AADCE6,194,194,-20,-15,170,220,230,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,-20 bis -15 °C,de -20 à -15 °C,da -20 a -15 °C,-20 to -15 °C,-20 bis -15 °C,de -20 à -15 °C,da -20 a -15 °C,-20 to -15 °C
#DBF5FF,194,194,-15,-10,219,245,255,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,-15 bis -10 °C,de -15 à -10 °C,da -15 a -10 °C,-15 to -10 °C,-15 bis -10 °C,de -15 à -10 °C,da -15 a -10 °C,-15 to -10 °C
#F0FCFF,194,194,-10,-5,240,252,255,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,-10 bis -5 °C,de -10 à -5 °C,da -10 a -5 °C,-10 to -5 °C,-10 bis -5 °C,de -10 à -5 °C,da -10 a -5 °C,-10 to -5 °C
#FFF0F5,194,194,-5,0,255,240,245,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,-5 bis 0 °C,de -5 à 0 °C,da -5 a 0 °C,-5 to 0 °C,-5 bis 0 °C,de -5 à 0 °C,da -5 a 0 °C,-5 to 0 °C
#FFE0E0,194,194,0,5,255,224,224,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,0 bis 5 °C,de 0 à 5 °C,da 0 a 5 °C,0 to 5 °C,0 bis 5 °C,de 0 à 5 °C,da 0 a 5 °C,0 to 5 °C
#FCBBAA,194,194,5,10,252,187,170,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,5 bis 10 °C,de 5 à 10 °C,da 5 a 10 °C,5 to 10 °C,5 bis 10 °C,de 5 à 10 °C,da 5 a 10 °C,5 to 10 °C
#FC9272,194,194,10,13,252,146,114,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,10 bis 13 °C,de 10 à 13 °C,da 10 a 13 °C,10 to 13 °C,10 bis 13 °C,de 10 à 13 °C,da 10 a 13 °C,10 to 13 °C
#FB6A4A,194,194,13,16,251,106,74,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,13 bis 16 °C,de 13 à 16 °C,da 13 a 16 °C,13 to 16 °C,13 bis 16 °C,de 13 à 16 °C,da 13 a 16 °C,13 to 16 °C
#F03C2B,194,194,16,19,240,60,43,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,16 bis 19 °C,de 16 à 19 °C,da 16 a 19 °C,16 to 19 °C,16 bis 19 °C,de 16 à 19 °C,da 16 a 19 °C,16 to 19 °C
#CC181E,194,194,19,22,204,24,30,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,19 bis 22 °C,de 19 à 22 °C,da 19 a 22 °C,19 to 22 °C,19 bis 22 °C,de 19 à 22 °C,da 19 a 22 °C,19 to 22 °C
#A60F14,194,194,22,25,166,15,20,tde200s0,degree Celsius,°C,Feuchte,humidité,umidità,humidity,Taupunkt 2 m über Boden; Momentanwert,point de rosée à 2 m du sol; valeur instantanée,Dew point 2 m above ground; current value,Punto di rugiada a 2 m; valore momentaneo,5d6f8794-bf59-458e-a16c-aeb98df5d6c8,messwerte-taupunkt-10min,i2019t,22 bis 25 °C,de 22 à 25 °C,da 22 a 25 °C,22 to 25 °C,22 bis 25 °C,de 22 à 25 °C,da 22 a 25 °C,22 to 25 °C
